A;X;Y;A;
0;0;0;0;
0;1;0;0;
0;10;0;0;
0;11;0;0;
0;100;0;0;
0;101;0;0;
0;110;0;0;
0;111;0;0;
0;1000;0;0;
0;1001;0;0;
0;1010;0;0;
0;1011;0;0;
0;1100;0;0;
0;1101;0;0;
0;1110;0;0;
0;1111;0;0;
0;10000;10000;1;
0;10001;0;0;
0;10010;0;0;
0;10011;0;0;
0;10100;0;0;
0;10101;0;0;
0;10110;0;0;
0;10111;0;0;
0;11000;0;0;
0;11001;0;0;
0;11010;0;0;
0;11011;0;0;
0;11100;0;0;
0;11101;0;0;
0;11110;0;0;
0;11111;0;0;
1;0;0;1;
1;1;0;1;
1;10;10;1;
1;11;0;1;
1;100;1100;100;
1;101;0;1;
1;110;10;1;
1;111;0;1;
1;1000;100;11;
1;1001;0;1;
1;1010;10;1;
1;1011;0;1;
1;1100;1100;100;
1;1101;0;1;
1;1110;10;1;
1;1111;0;1;
1;10000;10000;1;
1;10001;0;1;
1;10010;10;1;
1;10011;0;1;
1;10100;1100;100;
1;10101;0;1;
1;10110;10;1;
1;10111;0;1;
1;11000;100;11;
1;11001;0;1;
1;11010;10;1;
1;11011;0;1;
1;11100;1100;100;
1;11101;0;1;
1;11110;10;1;
1;11111;0;1;
10;0;1000;10;
10;1;0;10;
10;10;1010;10;
10;11;0;10;
10;100;1100;100;
10;101;0;10;
10;110;1010;10;
10;111;0;10;
10;1000;100;11;
10;1001;0;10;
10;1010;1010;10;
10;1011;0;10;
10;1100;1100;100;
10;1101;0;10;
10;1110;1010;10;
10;1111;0;10;
10;10000;11000;10;
10;10001;0;10;
10;10010;1010;10;
10;10011;0;10;
10;10100;1100;100;
10;10101;0;10;
10;10110;1010;10;
10;10111;0;10;
10;11000;100;11;
10;11001;0;10;
10;11010;1010;10;
10;11011;0;10;
10;11100;1100;100;
10;11101;0;10;
10;11110;1010;10;
10;11111;0;10;
11;0;100;11;
11;1;101;101;
11;10;10;1;
11;11;101;101;
11;100;1100;100;
11;101;101;101;
11;110;10;1;
11;111;101;101;
11;1000;100;11;
11;1001;101;101;
11;1010;10;1;
11;1011;101;101;
11;1100;1100;100;
11;1101;101;101;
11;1110;10;1;
11;1111;101;101;
11;10000;10100;11;
11;10001;101;101;
11;10010;10;1;
11;10011;101;101;
11;10100;1100;100;
11;10101;101;101;
11;10110;10;1;
11;10111;101;101;
11;11000;100;11;
11;11001;101;101;
11;11010;10;1;
11;11011;101;101;
11;11100;1100;100;
11;11101;101;101;
11;11110;10;1;
11;11111;101;101;
100;0;1100;100;
100;1;1101;110;
100;10;1010;10;
100;11;1101;110;
100;100;1100;100;
100;101;1101;110;
100;110;1010;10;
100;111;1101;110;
100;1000;100;11;
100;1001;1101;110;
100;1010;1010;10;
100;1011;1101;110;
100;1100;1100;100;
100;1101;1101;110;
100;1110;1010;10;
100;1111;1101;110;
100;10000;11100;100;
100;10001;1101;110;
100;10010;1010;10;
100;10011;1101;110;
100;10100;1100;100;
100;10101;1101;110;
100;10110;1010;10;
100;10111;1101;110;
100;11000;100;11;
100;11001;1101;110;
100;11010;1010;10;
100;11011;1101;110;
100;11100;1100;100;
100;11101;1101;110;
100;11110;1010;10;
100;11111;1101;110;
101;0;0;101;
101;1;0;101;
101;10;10;1;
101;11;0;101;
101;100;0;101;
101;101;0;101;
101;110;10;1;
101;111;0;101;
101;1000;0;101;
101;1001;0;101;
101;1010;10;1;
101;1011;0;101;
101;1100;0;101;
101;1101;0;101;
101;1110;10;1;
101;1111;0;101;
101;10000;0;101;
101;10001;0;101;
101;10010;10;1;
101;10011;0;101;
101;10100;0;101;
101;10101;0;101;
101;10110;10;1;
101;10111;0;101;
101;11000;0;101;
101;11001;0;101;
101;11010;10;1;
101;11011;0;101;
101;11100;0;101;
101;11101;0;101;
101;11110;10;1;
101;11111;0;101;
110;0;0;110;
110;1;0;110;
110;10;1010;10;
110;11;0;110;
110;100;0;110;
110;101;0;110;
110;110;1010;10;
110;111;0;110;
110;1000;0;110;
110;1001;0;110;
110;1010;1010;10;
110;1011;0;110;
110;1100;0;110;
110;1101;0;110;
110;1110;1010;10;
110;1111;0;110;
110;10000;0;110;
110;10001;0;110;
110;10010;1010;10;
110;10011;0;110;
110;10100;0;110;
110;10101;0;110;
110;10110;1010;10;
110;10111;0;110;
110;11000;0;110;
110;11001;0;110;
110;11010;1010;10;
110;11011;0;110;
110;11100;0;110;
110;11101;0;110;
110;11110;1010;10;
110;11111;0;110;
